hour,mae
0,1.8430142857142802
1,2.1411383333333336
2,1.643952083333332
3,1.2652508771929845
4,1.7506074074074036
5,2.0581305555555485
6,2.4461076923076917
7,2.3601611111111067
8,4.637312698412698
9,2.255284444444441
10,0.743342857142857
11,1.3475772727272728
12,1.2303333333333324
13,1.3601071428571458
14,1.7358899999999966
15,1.106986274509807
16,3.2494550724637716
17,3.170188095238092
18,2.1467729166666727
19,1.6706692307692337
20,1.3599526315789447
21,1.2034312499999977
22,1.9012796296296328
23,1.072720512820514
